=== Windows Log - 2025-12-19 10:41:22 ===

=== All windows matching 'eIVF' ===
Title: 'test.py - eivf version5 note entry bot - Cursor' | Class: 'Chrome_WidgetWin_1' | PID: 26092
Title: 'eivf version5 note entry bot' | Class: 'CabinetWClass' | PID: 11684
Title: 'test.py - eivf version5 note entry bot - Visual Studio Code' | Class: 'Chrome_WidgetWin_1' | PID: 24972
Title: 'eIVF' | Class: 'ThunderRT6MDIForm' | PID: 20900
Title: 'eIVF' | Class: 'ThunderRT6Main' | PID: 20900
Title: 'GDI+ Window (eIVF_net.exe)' | Class: 'GDI+ Hook Window Class' | PID: 8704
Title: 'GDI+ Window (eivf_clicknbuild.exe)' | Class: 'GDI+ Hook Window Class' | PID: 4480
Title: 'eIVF .Net' | Class: 'WindowsForms10.Window.8.app.0.141b42a_r8_ad1' | PID: 8704

=== All windows ===
Title: 'CiceroUIWndFrame' | Class: 'CiceroUIWndFrame'
Title: 'Battery Meter' | Class: 'SystemTray_Main'
Title: 'Network Flyout' | Class: 'ATL:00007FF99132B210'
Title: 'CiceroUIWndFrame' | Class: 'CiceroUIWndFrame'
Title: 'test.py - eivf version5 note entry bot - Cursor' | Class: 'Chrome_WidgetWin_1'
Title: 'eivf version5 note entry bot' | Class: 'CabinetWClass'
Title: 'test.py - eivf version5 note entry bot - Visual Studio Code' | Class: 'Chrome_WidgetWin_1'
Title: ' Patient Search ' | Class: 'ThunderRT6FormDC'
Title: 'eIVF' | Class: 'ThunderRT6MDIForm'
Title: 'eIVF' | Class: 'ThunderRT6Main'
Title: 'UiPath Studio Community' | Class: 'HwndWrapper[UiPath.Studio;;5b270de1-73a9-4a4c-9b7c-23be106446fe]'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[UiPath.Studio.Project;;b5657b9e-d020-442b-b226-bf9e71d1ef05]'
Title: 'MediaContextNotificationWindow' | Class: 'HwndWrapper[UiPath.Studio.Project;;58813f95-a113-4176-858b-83d374f585ee]'
Title: 'PlaceholderWindow' | Class: 'HwndWrapper[UiPath.Studio.Project;;6640f84e-c0a1-4912-9b90-2dd6796f5c59]'
Title: 'CiceroUIWndFrame' | Class: 'CiceroUIWndFrame'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[UiPath.Studio;;7c2b47a9-a089-464f-b506-cb1276e8b34b]'
Title: 'MediaContextNotificationWindow' | Class: 'HwndWrapper[UiPath.Studio;;b703d4a5-c4ac-4ff8-bde9-c926846dc677]'
Title: 'GDI+ Window (eIVF_net.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'GDI+ Window (eivf_clicknbuild.exe)' | Class: 'GDI+ Hook Window Class'
Title: '.NET-BroadcastEventWindow.4.0.0.0.141b42a.0' | Class: '.NET-BroadcastEventWindow.4.0.0.0.141b42a.0'
Title: 'eIVF .Net' | Class: 'WindowsForms10.Window.8.app.0.141b42a_r8_ad1'
Title: '.NET-BroadcastEventWindow.4.0.0.0.141b42a.0' | Class: '.NET-BroadcastEventWindow.4.0.0.0.141b42a.0'
Title: 'Hidden Window' | Class: 'HwndWrapper[AEAlert.exe;;66ac1690-6986-4474-8e86-eb063a463d02]'
Title: 'GDI+ Window (PAD.AutomationServer.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'Power Automate | ' | Class: 'HwndWrapper[PAD.Designer;;0d238a33-1da8-4a3b-998e-6a8a6d0767c1]'
Title: 'MediaContextNotificationWindow' | Class: 'HwndWrapper[PAD.Designer;;6466c213-9823-4040-a429-3476131c17f7]'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[PAD.Designer;;b2dd3e9d-9b2b-419c-a8bf-46984916ffce]'
Title: 'GDI+ Window (PAD.AutomationServer.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'GDI+ Window (PAD.Console.Host.exe)' | Class: 'GDI+ Hook Window Class'
Title: '.NET-BroadcastEventWindow.28f1359.0' | Class: '.NET-BroadcastEventWindow.28f1359.0'
Title: 'DDE Server Window' | Class: 'OleDdeWndClass'
Title: 'MediaContextNotificationWindow' | Class: 'HwndWrapper[PAD.Console.Host;;722df90e-e949-43e5-bc0e-e41aa2cf743a]'
Title: 'CiceroUIWndFrame' | Class: 'CiceroUIWndFrame'
